,bert_cause_cs_pairs,bert_treat_cs_pairs,roberta_cause_cs_pairs,roberta_treat_cs_pairs,bert_cause_cs_simple,bert_treat_cs_simple,roberta_cause_cs_simple,roberta_treat_cs_simple,term1,term2,relation_candidates,sentence,entity_id_y,is_cause,is_treat,is_food_correct,is_food_partially_correct,is_disease_correct,is_disease_partially_correct,bert_cause_ade_simple,roberta_cause_ade_simple,bert_cause_ade_pairs,roberta_cause_ade_pairs,biobert_cause_cs_simple,biobert_treat_cs_simple,biobert_cause_ade_simple,biobert_cause_cs_pairs,biobert_treat_cs_pairs,biobert_cause_ade_pairs
371,0.0,0.0,0.0,0.0,0,0,0,0,blueberries,g6pd) deficiency,in the literature stating that YYY should be avoided in individuals with glucose-6-phosphate dehydrogenase ( XXX .,"However, there is evidence in the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency.",,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0
122,0.0,0.0,0.0,1.0,0,1,0,1,ginkgo biloba,peripheral vascular disease,"in alleviating symptoms associated with XXX XXX YYY , dementia , asthma and","The extract from Ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus.",DOID:341,0.0,1.0,1.0,1.0,1.0,1.0,1,0,0.0,0.0,0,0,0,0.0,1.0,0.0
197,0.0,0.8,1.0,1.0,0,1,0,1,cheese,allergic,"protease , to lessen the XXX properties of bovine milk products and lipase to improve the flavor of the YYY .","Dairy food applications include the use of different enzymes, such as protease, to lessen the allergic properties of bovine milk products and lipase to improve the flavor of the cheese.",,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
151,1.0,0.0,1.0,0.0,1,0,1,0,farmed atlantic salmon,heart and skeletal muscle inflammation,( PRV-1 ) can cause XXX ( HSMI ) in YYY (,Piscine orthoreovirus (PRV-1) can cause heart and skeletal muscle inflammation (HSMI) in farmed Atlantic salmon (,,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0.8,0.0,1,0,0,1.0,0.0,1.0
271,1.0,0.0,0.0,0.0,0,0,0,0,beer,ad,"seafood , makgeolli , and XXX were associated with a lower prevalence of YYY ( OR , 0.56 ;","High levels of consumption (>92 times/month) of fermented foods such as doenjang, chungkookjang, kimchi, fermented seafood, makgeolli, and beer were associated with a lower prevalence of AD (OR, 0.56; 95% confidence interval [CI], 0.37-0.84).",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
256,1.0,0.0,1.0,0.0,1,0,1,0,milk,respiratory complications,"suggested that recurrent inhalation of YYY and food , consequent upon disordered oesophageal motility , is the major factor causing these XXX .","It is suggested that recurrent inhalation of milk and food, consequent upon disordered oesophageal motility, is the major factor causing these respiratory complications.",,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1,0,1,1.0,0.0,1.0
116,0.0,1.0,0.0,1.0,0,1,0,1,tofu,cognitive decline,"products such as tempe and YYY , could protect against XXX .","Cell culture studies suggest that phytoestrogens, abundant in soy products such as tempe and tofu, could protect against cognitive decline.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
124,0.7,0.0,0.0,0.1,0,0,0,1,grape extract (ge),lifestyle-related diseases,"YYY , which contains various polyphenolic compounds , exerts protective effects against XXX , such as diabetes and","Grape extract (GE), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
104,1.0,0.0,0.0,0.1,0,1,0,1,fruit,hypertension,"increased consumption of vegetables and YYY reduces the risk of XXX , coronary heart disease ,","An increased consumption of vegetables and fruit reduces the risk of hypertension, coronary heart disease, stroke, and cancer.",DOID:10763,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
384,0.0,0.0,0.0,0.0,0,1,0,0,zinc,mnds,"XXX remain a major public health concern particularly for women and children , with calcium , iodine , iron , selenium , YYY , folate and vitamin A","MNDs remain a major public health concern particularly for women and children, with calcium, iodine, iron, selenium, zinc, folate and vitamin A deficiencies being the most common.",,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0
85,0.0,0.0,0.0,0.0,0,1,0,1,beer,chronic diseases,"In YYY , the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different XXX .","In beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,0,1,0,0.0,0.7,0.0
157,0.0,0.2,0.0,1.0,0,1,0,1,beans,chronic diseases,YYY can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of XXX .,Beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases.,,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
63,0.4,0.0,0.3,0.0,0,1,0,1,soy foods,cardiovascular disease,"that consumption of soybeans or YYY reduces the risk of the development of XXX , cancer and osteoporosis .","Epidemiological investigations have shown that consumption of soybeans or soy foods reduces the risk of the development of cardiovascular disease, cancer and osteoporosis.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0
252,0.0,0.0,0.0,0.0,0,0,0,0,egg consumption,diabetes,The association between XXX and YYY is inconclusive .,The association between egg consumption and diabetes is inconclusive.,DOID:9351,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,0,0,1,0.0,0.0,0.0
234,1.0,0.0,0.0,0.0,0,0,0,1,sodium-glucose cotransporter 2 (sglt2),t2dm,"cardiovascular outcomes among patients with YYY have clearly shown that XXX inhibitors , such as empagliflozin","Recent studies on cardiovascular outcomes among patients with T2DM have clearly shown that sodium-glucose cotransporter 2 (SGLT2) inhibitors, such as empagliflozin, canagliflozin, and dapagliflozin, have cardiorenal protective effects apart from their glucose-lowering effects.",,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0
333,0.0,1.0,0.0,1.0,0,1,0,1,avocado soybean unsaponifiables (asu),knee osteoarthritis,XXX has proven its safety and effectiveness in clinical studies of YYY ( OA ) ; however,"Avocado soybean unsaponifiables (ASU) has proven its safety and effectiveness in clinical studies of knee osteoarthritis (OA); however, whether ASU exerts structure-modifying effects is still to be elucidated.",,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,1.0,0.0
70,0.2,0.0,1.0,0.0,1,0,1,0,gelatin hydrolysates ,osteoporosis,YYY is a common skeletal disorder in humans and XXX from mammals have been reported,Osteoporosis is a common skeletal disorder in humans and gelatin hydrolysates from mammals have been reported to improve osteoporosis.,DOID:11476,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,1,0,0,0.0,0.0,0.0
64,1.0,1.0,0.0,1.0,0,1,0,1,gambogic acid,osteoporosis,", diosgenin , embelin , XXX , genistein , plumbagin , quercetin , reseveratrol , zerumbone and more , can modulate cell signaling pathways and reverse/slow down YYY .","The nutraceuticals identified from dietary agents such as butein, cardamonin, coronarin D curcumin, diosgenin, embelin, gambogic acid, genistein, plumbagin, quercetin, reseveratrol, zerumbone and more, can modulate cell signaling pathways and reverse/slow down osteoporosis.",DOID:11476,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0
61,1.0,0.6,1.0,0.0,1,0,0,0,flour,occupational diseases,Bakers are exposed daily to YYY and may be susceptible to immunologic XXX .,Bakers are exposed daily to flour and may be susceptible to immunologic occupational diseases.,,1.0,0.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1,0,1,1.0,0.0,0.0
191,1.0,0.0,0.0,0.0,0,0,0,0,milk,lactose intolerance,among vegetarians and consumers with XXX or allergy to YYY proteins .,"Overall, our findings indicate that fermented curly kale juice may become popular in the functional food sector, especially among vegetarians and consumers with lactose intolerance or allergy to milk proteins.",DOID:10604,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,0.1,0,0,0,0.0,0.0,0.0
291,0.1,0.0,0.0,0.0,0,0,1,0,cigarette smoke,asthma,XXX and secondhand ( passive ) smoke have been causally related to YYY and lung cancer .,Cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer.,DOID:2841,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0.6,1.0,1,0,1,0.0,0.0,0.0
424,0.0,0.0,0.0,1.0,0,1,0,1,mediterranean diet,stroke,The XXX ( MD ) has been shown to lower YYY risk .,The Mediterranean diet (MD) has been shown to lower stroke risk.,DOID:6713,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.0,0,1,0,0.0,0.4,0.0
